,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,main_stem_length_in_cm
194,0.72,1,2.0,0.21000000000000002,51.0
991,0.73,8,7.0,0.16,115.0
88,0.42,0,0.0,0.05,66.0
70,0.32,0,0.0,0.05,75.0
87,0.56,0,0.0,0.06999999999999999,64.0
293,0.38,20,63.5,0.15,31.5
243,0.35,16,50.0,0.13,32.0
278,0.4,37,92.5,0.19,40.0
212,0.54,10,23.8,0.18,42.0
9,0.39,1,2.0,0.11000000000000001,50.0
1051,0.57,6,14.0,0.44000000000000006,43.0
196,0.34,4,7.5,0.04,53.0
252,0.53,23,57.5,0.2,40.0
1007,0.8,0,0.0,0.4,52.0
193,0.33,0,0.0,0.09,51.0
117,0.62,6,10.5,0.16,57.0
47,0.35,28,133.3,0.16,21.0
173,0.44,0,0.0,0.09,46.0
