,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,side_branches_in_cm,main_stem_length_in_cm
111,0.62,4,6.0,0.12,45.5,67.0
166,0.72,0,0.0,0.05,45.5,100.0
1000,0.78,0,0.0,0.15,45.5,115.0
207,0.34,7,20.6,0.17,45.5,34.0
438,0.34,0,0.0,0.15,45.5,34.0
552,0.67,0,0.0,0.15,19.0,54.0
274,0.38,5,12.8,0.13,45.5,39.0
924,0.32,0,0.0,0.15,45.5,22.0
591,0.68,0,0.0,0.15,18.0,56.0
980,1.09,0,0.0,0.28,45.5,92.0
1002,0.41,1,12.5,0.38,45.5,8.0
839,0.51,10,18.5,0.15,45.5,54.0
525,0.6,0,0.0,0.15,9.0,41.0
287,0.36,9,30.5,0.18,45.5,29.5
469,0.51,0,0.0,0.15,45.5,36.0
326,0.15,0,0.0,0.15,45.5,13.0
121,0.31,10,25.6,0.08,45.5,39.0
1062,0.53,1,2.0,0.21,45.5,51.0
507,0.35,0,0.0,0.15,45.5,28.0
228,0.23,10,57.1,0.1,45.5,17.5
673,0.33,0,0.0,0.15,45.5,88.0
595,0.68,0,0.0,0.15,73.0,59.0
445,0.41,0,0.0,0.15,45.5,31.0
117,0.62,6,10.5,0.16,45.5,57.0
464,0.56,0,0.0,0.15,45.5,57.0
25,0.48,10,24.4,0.13,45.5,41.0
110,0.67,0,0.0,0.05,45.5,90.0
149,0.31,1,3.2,0.16,45.5,31.0
152,0.68,0,0.0,0.06,45.5,110.0
528,0.67,0,0.0,0.15,35.0,62.0
696,0.49,0,0.0,0.15,19.0,69.0
843,0.51,18,33.3,0.15,45.5,54.0
621,0.44,0,0.0,0.15,53.0,31.0
461,0.66,0,0.0,0.15,45.5,48.0
598,0.65,0,0.0,0.15,46.0,51.0
139,0.65,5,10.4,0.05,45.5,48.0
749,0.51,5,7.8,0.15,39.0,64.0
260,0.62,22,40.0,0.2,45.5,55.0
864,0.83,24,47.1,0.15,45.5,51.0
925,0.34,1,3.4,0.15,45.5,29.0
829,0.42,15,25.9,0.15,45.5,58.0
323,0.21,0,0.0,0.15,45.5,15.5
979,1.08,0,0.0,0.48,45.5,71.0
248,0.27,12,41.4,0.08,45.5,29.0
450,0.43,0,0.0,0.15,45.5,49.0
410,0.14,0,0.0,0.15,45.5,5.0
840,0.71,28,48.3,0.15,45.5,58.0
607,0.48,0,0.0,0.15,45.5,63.0
19,0.53,8,22.9,0.19,45.5,35.0
328,0.23,0,0.0,0.15,45.5,12.0
296,0.31,10,36.4,0.06,45.5,27.5
880,0.64,12,27.9,0.15,45.5,43.0
269,0.37,9,19.1,0.05,45.5,47.0
875,0.41,16,57.1,0.15,45.5,28.0
226,0.49,26,63.4,0.2,45.5,41.0
94,0.34,0,0.0,0.05,45.5,83.0
515,0.36,0,0.0,0.15,45.5,54.0
915,0.41,10,29.4,0.15,45.5,34.0
637,0.44,0,0.0,0.15,45.5,56.0
280,0.44,17,43.6,0.09,45.5,39.0
286,0.39,10,34.5,0.09,45.5,29.0
589,0.49,0,0.0,0.15,45.5,42.0
1018,0.76,2,4.4,0.45,45.5,45.0
444,0.33,0,0.0,0.15,45.5,27.0
184,0.52,8,10.3,0.17,45.5,78.0
371,0.39,0,0.0,0.15,45.5,25.0
950,0.73,2,2.0,0.15,45.5,99.0
1053,0.62,2,3.6,0.57,45.5,55.0
275,0.44,17,50.0,0.27,45.5,34.0
806,0.65,0,0.0,0.15,45.5,77.0
1023,0.5,4,9.1,0.34,45.5,44.0
182,0.83,1,1.3,0.09,45.5,77.0
32,0.61,11,31.4,0.16,45.5,35.0
80,0.48,0,0.0,0.1,45.5,61.0
307,0.2,0,0.0,0.15,45.5,16.5
770,0.52,5,8.6,0.15,45.5,58.0
11,0.51,16,35.6,0.25,45.5,45.0
872,0.36,16,47.1,0.15,45.5,34.0
43,0.55,7,21.2,0.12,45.5,33.0
86,0.5,4,6.0,0.06,45.5,67.0
778,0.49,1,1.5,0.15,45.5,68.0
36,0.36,7,25.9,0.15,45.5,27.0
1056,0.76,0,0.0,0.65,45.5,48.0
58,0.4,0,0.0,0.04,45.5,101.0
41,0.4,10,33.3,0.17,45.5,30.0
782,0.69,4,7.0,0.15,45.5,57.0
411,0.22,0,0.0,0.15,45.5,10.0
562,0.9,0,0.0,0.15,45.5,78.0
