,stem_diam_bottom_in_cm,total_meja,meja_per_100_cm,diam_top_in_cm,side_branches_in_cm,main_stem_length_in_cm
640,0.44,0,0.0,0.15,68.0,65.0
346,0.17,0,0.0,0.15,45.5,10.5
396,0.26,0,0.0,0.15,45.5,9.0
198,0.52,2,3.8,0.31,45.5,52.5
389,0.23,0,0.0,0.15,45.5,13.0
385,0.25,0,0.0,0.15,45.5,12.5
941,0.49,14,21.5,0.15,45.5,65.0
485,0.47,0,0.0,0.15,45.5,28.0
1001,0.98,18,23.7,0.34,45.5,76.0
983,0.72,1,1.0,0.15,45.5,99.0
740,0.58,0,0.0,0.15,45.5,62.0
229,0.32,12,50.0,0.12,45.5,24.0
793,0.46,0,0.0,0.15,45.5,69.0
21,0.45,10,23.8,0.11,45.5,42.0
702,0.57,0,0.0,0.15,45.5,56.0
796,0.49,0,0.0,0.15,45.5,62.0
649,0.26,0,0.0,0.15,45.5,33.0
250,0.61,17,27.2,0.13,45.5,62.5
243,0.35,16,50.0,0.13,45.5,32.0
619,0.43,0,0.0,0.15,30.0,58.0
35,0.62,9,26.5,0.12,45.5,34.0
81,0.43,3,5.8,0.05,45.5,52.0
159,0.37,2,3.9,0.14,45.5,51.0
732,0.47,0,0.0,0.15,45.5,70.0
333,0.21,0,0.0,0.15,45.5,19.0
911,0.63,14,14.1,0.15,45.5,99.0
957,1.05,2,2.0,0.15,45.5,99.0
728,0.36,0,0.0,0.15,45.5,83.0
109,0.88,0,0.0,0.26,45.5,82.0
492,0.4,2,5.9,0.15,45.5,34.0
379,0.24,0,0.0,0.15,45.5,9.5
815,0.49,1,1.5,0.15,45.5,65.0
966,0.62,8,9.2,0.15,45.5,87.0
92,0.27,0,0.0,0.06,45.5,48.0
748,0.56,0,0.0,0.15,45.5,99.0
479,0.29,0,0.0,0.15,45.5,22.0
968,0.42,8,13.1,0.15,45.5,61.0
934,0.44,33,45.2,0.15,45.5,73.0
390,0.17,0,0.0,0.15,45.5,8.5
626,0.31,0,0.0,0.15,45.5,42.0
70,0.32,0,0.0,0.05,45.5,75.0
491,0.77,6,11.1,0.15,45.5,54.0
211,0.52,35,77.8,0.24,45.5,45.0
171,0.42,4,6.5,0.08,45.5,62.0
165,0.28,1,2.0,0.05,45.5,49.0
238,0.61,23,46.9,0.25,45.5,49.0
188,0.53,1,1.5,0.12,45.5,67.0
874,0.56,8,24.2,0.15,45.5,33.0
686,0.7,0,0.0,0.15,45.5,91.0
676,0.48,0,0.0,0.15,45.5,49.0
344,0.22,0,0.0,0.15,45.5,12.0
588,0.36,0,0.0,0.15,45.5,36.0
963,0.79,0,0.0,0.21,45.5,80.0
1007,0.8,0,0.0,0.4,45.5,52.0
703,0.38,0,0.0,0.15,45.5,72.0
904,0.94,60,69.0,0.15,45.5,87.0
155,0.68,0,0.0,0.05,45.5,92.0
824,0.56,5,6.9,0.15,45.5,72.0
620,0.82,0,0.0,0.15,110.0,32.0
818,0.65,9,12.0,0.15,45.5,75.0
125,0.33,10,29.4,0.07,45.5,34.0
993,0.93,0,0.0,0.25,45.5,98.0
456,0.76,0,0.0,0.15,45.5,50.0
66,0.38,0,0.0,0.16,45.5,61.0
665,0.62,0,0.0,0.15,45.5,114.0
233,0.82,12,30.8,0.2,45.5,39.0
224,0.64,20,41.7,0.15,45.5,48.0
268,0.56,5,10.6,0.24,45.5,47.0
161,0.38,9,11.5,0.05,45.5,78.0
521,0.92,0,0.0,0.15,30.0,67.0
944,0.74,6,7.8,0.15,45.5,77.0
733,0.36,0,0.0,0.15,45.5,69.0
672,0.62,0,0.0,0.15,45.5,55.0
178,0.39,7,10.9,0.04,45.5,64.0
1041,0.75,1,1.5,0.17,45.5,67.0
415,0.21,0,0.0,0.15,45.5,13.0
100,0.43,1,1.1,0.09,45.5,88.0
680,0.63,0,0.0,0.15,49.0,91.0
678,0.72,0,0.0,0.15,45.5,77.0
334,0.16,0,0.0,0.15,45.5,11.5
761,0.54,0,0.0,0.15,117.0,53.0
220,0.45,26,60.5,0.16,45.5,43.0
391,0.18,0,0.0,0.15,45.5,8.0
309,0.2,0,0.0,0.15,45.5,15.5
841,0.55,31,51.7,0.15,45.5,60.0
965,0.64,2,2.5,0.15,45.5,80.0
1010,0.64,20,26.0,0.76,45.5,77.0
245,0.34,24,64.9,0.16,45.5,37.0
518,0.38,0,0.0,0.15,45.5,27.0
580,0.34,0,0.0,0.15,45.5,29.0
795,0.47,0,0.0,0.15,45.5,65.0
104,0.3,2,5.1,0.09,45.5,39.0
596,0.51,0,0.0,0.15,13.0,55.0
51,0.34,0,0.0,0.04,45.5,68.0
354,0.24,0,0.0,0.15,45.5,12.5
460,0.79,0,0.0,0.15,45.5,59.0
22,0.34,12,44.4,0.12,45.5,27.0
374,0.25,0,0.0,0.15,45.5,14.5
538,0.31,0,0.0,0.15,45.5,36.0
218,0.4,16,55.2,0.15,45.5,29.0
743,0.42,0,0.0,0.15,45.5,71.0
848,0.46,0,0.0,0.15,45.5,74.0
741,0.47,0,0.0,0.15,45.5,81.0
205,0.62,9,15.7,0.11,45.5,57.5
798,0.54,3,5.3,0.15,45.5,57.0
497,0.57,0,0.0,0.15,45.5,47.0
516,0.27,0,0.0,0.15,45.5,42.0
375,0.17,0,0.0,0.15,45.5,13.0
185,0.38,0,0.0,0.09,45.5,53.0
404,0.21,0,0.0,0.15,45.5,18.0
994,0.96,0,0.0,0.15,45.5,135.0
401,0.2,0,0.0,0.15,45.5,6.0
747,0.35,0,0.0,0.15,45.5,68.0
713,0.31,3,6.5,0.15,45.5,46.0
441,0.75,0,0.0,0.15,87.0,32.0
132,0.72,1,2.4,0.08,45.5,42.0
173,0.44,0,0.0,0.09,45.5,46.0
428,0.64,0,0.0,0.15,45.5,47.0
615,0.42,0,0.0,0.15,59.0,35.0
1047,0.75,5,13.2,0.62,45.5,38.0
822,0.56,8,13.3,0.15,45.5,60.0
681,0.57,0,0.0,0.15,45.5,83.0
96,0.5,0,0.0,0.05,45.5,63.0
642,0.71,0,0.0,0.15,155.0,34.0
499,0.5,0,0.0,0.15,45.5,73.0
74,0.61,0,0.0,0.03,45.5,95.0
89,0.48,0,0.0,0.15,45.5,62.0
658,0.46,0,0.0,0.15,129.0,16.0
618,0.5,0,0.0,0.15,45.5,63.0
0,0.78,21,32.8,0.26,45.5,64.0
558,0.35,0,0.0,0.15,45.5,30.0
392,0.31,0,0.0,0.15,45.5,14.5
476,0.41,0,0.0,0.15,45.5,33.0
867,0.47,25,43.1,0.15,45.5,58.0
519,0.68,0,0.0,0.15,45.5,52.0
107,0.74,0,0.0,0.14,45.5,69.0
783,0.39,4,8.9,0.15,45.5,45.0
689,0.8,0,0.0,0.15,45.5,97.0
223,0.4,5,15.6,0.11,45.5,32.0
327,0.24,0,0.0,0.15,45.5,10.0
102,0.66,0,0.0,0.13,45.5,79.0
857,0.46,0,0.0,0.15,45.5,54.0
475,0.62,0,0.0,0.15,45.5,32.0
213,0.68,11,18.0,0.23,45.5,61.0
135,0.62,1,2.5,0.22,45.5,40.0
246,0.33,19,51.4,0.07,45.5,37.0
1049,0.68,6,11.1,0.5,45.5,54.0
920,0.44,13,35.1,0.15,45.5,37.0
860,0.31,0,0.0,0.15,45.5,47.0
1046,0.37,6,33.3,0.36,45.5,18.0
365,0.27,0,0.0,0.15,45.5,10.0
883,0.33,6,20.0,0.15,45.5,30.0
26,0.61,18,41.9,0.36,45.5,43.0
939,0.29,12,30.8,0.15,45.5,39.0
417,0.16,0,0.0,0.15,45.5,13.0
613,0.3,0,0.0,0.15,45.5,40.0
887,0.43,10,23.8,0.15,45.5,42.0
3,0.64,30,50.8,0.26,45.5,59.0
134,0.49,5,20.0,0.2,45.5,25.0
355,0.23,0,0.0,0.15,45.5,11.5
956,0.59,4,5.6,0.15,45.5,72.0
833,0.69,7,9.6,0.15,45.5,73.0
1038,0.56,8,11.9,0.26,45.5,67.0
608,0.43,0,0.0,0.15,45.5,52.0
859,0.37,0,0.0,0.15,45.5,51.0
225,0.43,21,79.2,0.1,45.5,26.5
894,0.67,26,52.0,0.15,45.5,50.0
369,0.21,0,0.0,0.15,45.5,19.0
738,0.49,0,0.0,0.15,45.5,70.0
339,0.18,0,0.0,0.15,45.5,14.0
419,0.7,0,0.0,0.15,8.0,91.0
603,0.51,0,0.0,0.15,45.5,45.0
903,0.71,22,25.0,0.15,45.5,88.0
265,0.47,23,44.2,0.1,45.5,52.0
454,0.76,0,0.0,0.15,128.0,58.0
63,0.38,0,0.0,0.04,45.5,66.0
823,0.68,10,16.1,0.15,45.5,62.0
360,0.23,0,0.0,0.15,45.5,11.5
237,0.37,10,34.5,0.13,45.5,29.0
112,0.33,0,0.0,0.09,45.5,51.0
1036,0.38,19,35.8,0.23,45.5,53.0
532,0.48,0,0.0,0.15,45.5,43.0
577,0.33,0,0.0,0.15,45.5,38.0
126,0.41,2,4.3,0.07,45.5,47.0
259,0.35,5,17.2,0.11,45.5,29.0
805,0.75,0,0.0,0.15,45.5,87.0
781,0.37,7,17.5,0.15,45.5,40.0
137,0.62,0,0.0,0.11,45.5,71.0
725,0.45,0,0.0,0.15,45.5,90.0
7,0.68,41,89.1,0.15,45.5,46.0
502,0.76,0,0.0,0.15,129.0,64.0
631,0.47,0,0.0,0.15,45.5,63.0
905,0.44,8,16.7,0.15,45.5,48.0
760,0.5,2,7.7,0.15,111.0,26.0
926,0.11,1,3.3,0.15,45.5,30.0
407,0.16,0,0.0,0.15,45.5,12.0
750,0.66,0,0.0,0.15,57.0,75.0
353,0.18,0,0.0,0.15,45.5,14.0
153,0.63,0,0.0,0.15,45.5,86.0
566,0.67,0,0.0,0.15,83.0,57.0
542,0.33,0,0.0,0.15,45.5,25.0
343,0.21,0,0.0,0.15,45.5,16.5
967,1.08,1,1.6,0.58,45.5,63.0
612,0.4,0,0.0,0.15,45.5,43.0
1065,0.71,2,2.1,0.15,45.5,96.0
899,0.82,37,48.1,0.15,45.5,77.0
56,0.53,0,0.0,0.02,45.5,103.0
400,0.26,0,0.0,0.15,45.5,8.0
572,0.3,0,0.0,0.15,45.5,34.0
473,0.26,4,14.8,0.15,45.5,27.0
468,0.54,0,0.0,0.15,45.5,34.0
708,0.28,0,0.0,0.15,45.5,65.0
827,0.44,1,1.8,0.15,45.5,56.0
504,0.56,0,0.0,0.15,28.0,61.0
1043,0.46,0,0.0,0.34,45.5,50.0
706,0.6,0,0.0,0.15,45.5,70.0
648,0.3,0,0.0,0.15,45.5,39.0
1019,0.77,1,1.0,0.15,45.5,100.0
300,0.21,0,0.0,0.15,45.5,20.0
731,0.34,0,0.0,0.15,45.5,59.0
722,0.61,0,0.0,0.15,45.5,83.0
570,0.34,0,0.0,0.15,45.5,35.0
163,0.57,1,1.4,0.12,45.5,72.0
636,0.41,0,0.0,0.15,45.5,40.0
336,0.29,0,0.0,0.15,45.5,20.5
59,0.73,0,0.0,0.05,45.5,85.0
895,0.38,25,43.1,0.15,45.5,58.0
1021,0.52,13,34.2,0.15,45.5,38.0
490,0.36,0,0.0,0.15,45.5,18.0
855,0.46,0,0.0,0.15,45.5,56.0
449,0.55,0,0.0,0.15,45.5,46.0
762,0.45,2,3.4,0.15,45.5,59.0
437,0.28,0,0.0,0.15,45.5,40.0
670,0.38,0,0.0,0.15,45.5,56.0
563,0.43,0,0.0,0.15,45.5,49.0
842,0.7,21,32.8,0.15,45.5,64.0
970,0.94,1,1.2,0.16,45.5,86.0
219,0.58,39,76.5,0.29,45.5,51.0
837,0.58,6,10.0,0.15,45.5,60.0
586,0.44,0,0.0,0.15,45.5,41.0
282,0.69,23,67.6,0.13,45.5,34.0
348,0.2,0,0.0,0.15,45.5,6.0
744,0.58,0,0.0,0.15,45.5,93.0
4,0.65,31,68.9,0.3,45.5,45.0
893,0.67,10,23.3,0.15,45.5,43.0
463,0.38,0,0.0,0.15,32.0,28.0
871,0.44,19,73.1,0.15,45.5,26.0
1032,0.7,6,13.0,0.41,45.5,46.0
959,0.65,0,0.0,0.15,45.5,89.0
517,0.29,0,0.0,0.15,45.5,22.0
653,0.24,0,0.0,0.15,45.5,43.0
573,0.41,0,0.0,0.15,45.5,38.0
647,0.42,0,0.0,0.15,14.0,52.0
953,0.71,4,4.7,0.15,45.5,86.0
975,0.84,0,0.0,0.15,45.5,111.0
534,0.53,0,0.0,0.15,22.0,47.0
987,0.52,4,8.7,0.34,45.5,46.0
276,0.61,34,103.0,0.26,45.5,33.0
284,0.47,19,44.2,0.14,45.5,43.0
470,0.41,0,0.0,0.15,45.5,45.0
426,0.44,0,0.0,0.15,45.5,78.0
281,0.41,3,10.7,0.09,45.5,28.0
120,0.31,2,4.7,0.07,45.5,43.0
593,0.31,0,0.0,0.15,45.5,36.0
1057,0.6,10,24.4,0.53,45.5,41.0
13,0.48,26,83.9,0.28,45.5,31.0
712,0.43,6,15.0,0.15,45.5,40.0
455,0.61,0,0.0,0.15,45.5,52.0
584,0.46,0,0.0,0.15,45.5,60.0
147,0.38,5,13.5,0.14,45.5,37.0
160,0.63,0,0.0,0.1,45.5,76.0
1054,0.55,5,13.5,0.43,45.5,37.0
933,0.63,19,39.6,0.15,45.5,48.0
986,0.45,7,21.9,0.27,45.5,32.0
807,0.47,0,0.0,0.15,45.5,76.0
195,0.5,2,3.8,0.18,45.5,53.0
191,0.38,3,4.7,0.13,45.5,64.0
628,0.41,0,0.0,0.15,49.0,31.0
536,0.48,0,0.0,0.15,45.5,41.0
960,0.63,0,0.0,0.15,45.5,104.0
164,0.53,3,4.1,0.12,45.5,73.0
106,0.33,4,10.5,0.06,45.5,38.0
16,0.66,3,8.3,0.22,45.5,36.0
575,0.5,0,0.0,0.15,31.0,69.0
1013,0.78,7,15.2,0.53,45.5,46.0
1040,0.69,11,17.7,0.33,45.5,62.0
