,stem_diam_bottom_in_cm,diam_top_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
1055,0.61,0.47,1,1,1,0,49.0
4,0.65,0.3,31,1,1,31,45.0
96,0.5,0.05,0,0,0,0,63.0
14,0.93,0.28,8,1,1,8,42.0
61,0.42,0.07,0,0,0,0,65.0
67,0.55,0.15,0,1,0,0,57.0
294,0.33,0.12,12,1,1,12,30.0
195,0.5,0.18,2,1,1,2,53.0
154,0.28,0.02,3,0,1,3,67.0
1018,0.76,0.45,2,1,1,0,45.0
284,0.47,0.14,19,0,1,18,43.0
247,0.24,0.18,8,1,1,2,22.0
1035,0.64,0.38,6,1,1,0,73.0
40,0.32,0.16,11,1,1,9,41.0
112,0.33,0.09,0,0,0,0,51.0
13,0.48,0.28,26,1,1,22,31.0
107,0.74,0.14,0,1,0,0,69.0
227,0.44,0.23,9,1,1,8,32.0
282,0.69,0.13,23,0,1,23,34.0
3,0.64,0.26,30,1,1,30,59.0
254,0.53,0.08,16,0,1,16,54.0
125,0.33,0.07,10,0,1,10,34.0
24,0.65,0.16,6,0,1,6,37.0
30,0.57,0.31,13,1,1,13,40.0
77,0.39,0.02,0,0,0,0,55.0
233,0.82,0.2,12,1,1,10,39.0
189,0.88,0.18,0,1,0,0,96.0
185,0.38,0.09,0,1,0,0,53.0
1032,0.7,0.41,6,1,1,1,46.0
1054,0.55,0.43,5,1,1,0,37.0
1041,0.75,0.17,1,1,1,0,67.0
19,0.53,0.19,8,1,1,7,35.0
993,0.93,0.25,0,1,0,0,98.0
997,0.86,0.3,1,1,1,0,79.0
183,0.81,0.12,5,1,1,0,91.0
1014,0.58,0.32,8,1,1,1,49.0
80,0.48,0.1,0,0,0,0,61.0
51,0.34,0.04,0,0,0,0,68.0
2,0.66,0.26,32,1,1,32,33.0
11,0.51,0.25,16,1,1,16,45.0
104,0.3,0.09,2,0,1,2,39.0
275,0.44,0.27,17,1,1,17,34.0
86,0.5,0.06,4,0,1,4,67.0
36,0.36,0.15,7,0,1,5,27.0
1044,0.87,0.18,20,1,1,1,124.0
58,0.4,0.04,0,0,0,0,101.0
41,0.4,0.17,10,1,1,8,30.0
50,0.48,0.05,0,0,0,0,85.0
210,0.48,0.2,7,1,1,3,31.0
980,1.09,0.28,0,1,0,0,92.0
1002,0.41,0.38,1,1,1,0,8.0
974,0.55,0.12,18,1,1,6,80.0
123,0.29,0.07,3,0,1,3,40.0
223,0.4,0.11,5,0,1,4,32.0
62,0.36,0.02,0,0,0,0,72.0
279,0.43,0.13,4,0,1,3,38.0
130,0.38,0.06,0,1,0,0,54.0
188,0.53,0.12,1,0,1,1,67.0
23,0.43,0.16,21,0,1,21,31.0
43,0.55,0.12,7,1,1,0,33.0
0,0.78,0.26,21,1,1,17,64.0
202,0.59,0.14,67,1,1,66,62.5
987,0.52,0.34,4,1,1,1,46.0
98,0.41,0.17,0,1,0,0,60.0
179,0.8,0.04,0,0,0,0,98.0
257,0.19,0.08,3,0,1,3,22.0
94,0.34,0.05,0,0,0,0,83.0
1030,0.49,0.38,8,1,1,0,38.0
95,0.63,0.17,0,1,0,0,69.0
1006,0.38,0.12,20,1,1,1,44.0
170,0.64,0.09,0,0,0,0,93.0
69,0.81,0.21,0,1,0,0,85.0
48,0.55,0.19,6,1,0,5,36.0
208,0.35,0.18,13,1,1,11,40.5
280,0.44,0.09,17,0,1,16,39.0
228,0.23,0.1,10,1,1,1,17.5
148,0.22,0.03,0,0,0,0,36.0
143,0.29,0.06,0,0,0,0,39.0
181,0.52,0.12,1,0,1,1,51.0
131,0.26,0.06,5,1,1,3,38.0
1015,0.39,0.09,8,1,1,0,49.0
1060,0.67,0.39,7,1,1,0,50.0
263,0.5,0.11,48,1,1,48,59.0
204,0.44,0.14,11,1,1,11,39.5
84,0.9,0.26,0,1,0,0,79.0
121,0.31,0.08,10,0,1,10,39.0
996,0.72,0.14,27,1,1,4,90.0
1039,0.51,0.14,0,1,0,0,81.0
91,0.48,0.03,0,0,0,0,75.0
82,0.25,0.06,0,0,0,0,47.0
268,0.56,0.24,5,1,1,3,47.0
119,0.82,0.23,0,1,0,0,65.0
292,0.59,0.21,8,1,1,7,39.0
57,0.53,0.09,0,1,0,0,65.0
258,0.48,0.12,5,0,1,3,50.0
1013,0.78,0.53,7,1,1,0,46.0
42,0.51,0.23,23,1,1,23,22.0
105,0.47,0.09,0,0,0,0,88.0
274,0.38,0.13,5,1,1,5,39.0
1009,0.7,0.26,1,1,1,0,67.0
38,0.46,0.12,9,0,1,7,31.0
53,0.41,0.06,0,0,0,0,81.0
1001,0.98,0.34,18,1,1,3,76.0
128,0.34,0.03,0,0,0,0,67.0
291,0.34,0.1,15,0,1,15,33.5
28,0.61,0.2,17,1,1,17,34.0
184,0.52,0.17,8,1,1,8,78.0
163,0.57,0.12,1,1,1,1,72.0
151,0.57,0.04,0,1,0,0,92.0
245,0.34,0.16,24,1,1,24,37.0
203,0.6,0.11,34,1,1,14,56.0
31,0.42,0.22,17,1,1,16,34.0
32,0.61,0.16,11,1,1,10,35.0
127,0.5,0.06,7,0,1,7,57.0
186,0.49,0.11,0,0,0,0,54.0
1033,0.6,0.35,14,1,1,3,54.0
289,0.4,0.09,8,0,1,6,37.0
1036,0.38,0.23,19,1,1,2,53.0
147,0.38,0.14,5,1,1,5,37.0
286,0.39,0.09,10,0,1,10,29.0
1031,0.47,0.42,23,1,1,5,32.0
178,0.39,0.04,7,0,1,7,64.0
99,0.46,0.12,0,1,0,0,83.0
1026,0.35,0.25,0,1,0,0,41.0
198,0.52,0.31,2,1,1,1,52.5
244,0.33,0.13,17,1,1,17,27.0
115,0.4,0.15,9,1,1,9,42.0
266,0.4,0.21,22,1,1,20,41.0
72,0.41,0.1,2,1,1,1,66.0
1024,0.56,0.45,0,1,0,0,45.0
25,0.48,0.13,10,0,1,10,41.0
165,0.28,0.05,1,1,1,1,49.0
1028,0.45,0.39,6,1,1,1,35.0
1046,0.37,0.36,6,1,1,0,18.0
175,0.69,0.2,0,1,0,0,82.0
1048,0.47,0.46,10,1,1,1,36.0
39,0.53,0.21,27,1,1,21,38.0
194,0.72,0.21,1,1,1,1,51.0
991,0.73,0.16,8,1,1,2,115.0
88,0.42,0.05,0,0,0,0,66.0
70,0.32,0.05,0,0,0,0,75.0
87,0.56,0.07,0,0,0,0,64.0
293,0.38,0.15,20,0,1,20,31.5
243,0.35,0.13,16,0,1,14,32.0
278,0.4,0.19,37,0,1,37,40.0
212,0.54,0.18,10,1,1,9,42.0
9,0.39,0.11,1,0,1,1,50.0
1051,0.57,0.44,6,1,1,3,43.0
196,0.34,0.04,4,0,1,4,53.0
252,0.53,0.2,23,1,1,23,40.0
1007,0.8,0.4,0,1,0,0,52.0
193,0.33,0.09,0,0,0,0,51.0
117,0.62,0.16,6,1,1,6,57.0
47,0.35,0.16,28,1,1,26,21.0
173,0.44,0.09,0,1,0,0,46.0
