,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,tip_of_stem_broken,infested
143,39.0,0.29,0.06,0,0
846,72.0,0.68,0.18,0,0
180,58.0,0.37,0.08,1,0
868,32.0,0.58,0.18,0,1
972,107.0,0.78,0.18,0,1
131,38.0,0.26,0.06,1,1
1035,73.0,0.64,0.38,1,1
47,21.0,0.35,0.16,1,1
964,122.0,0.92,0.24,1,1
774,44.0,0.63,0.18,0,1
324,18.5,0.22,0.18,0,0
203,56.0,0.6,0.11,1,1
84,79.0,0.9,0.26,1,0
938,30.0,0.73,0.18,0,1
633,51.0,0.62,0.18,1,0
908,72.0,0.5,0.18,0,1
565,62.0,0.87,0.18,1,0
611,55.0,0.51,0.18,1,0
398,14.0,0.17,0.18,0,0
896,59.0,0.48,0.18,0,1
91,75.0,0.48,0.03,0,0
82,47.0,0.25,0.06,0,0
430,66.0,0.56,0.18,1,0
779,55.0,0.54,0.18,0,1
119,65.0,0.82,0.23,1,0
870,42.0,0.46,0.18,0,1
291,33.5,0.34,0.1,0,1
57,65.0,0.53,0.09,1,0
937,96.0,0.35,0.18,0,1
999,120.0,0.98,0.18,0,1
321,11.0,0.19,0.18,0,0
257,22.0,0.19,0.08,0,1
888,50.0,0.47,0.18,0,1
1061,46.0,0.45,0.18,0,1
442,53.0,0.5,0.18,1,0
42,22.0,0.51,0.23,1,1
617,24.0,0.6,0.18,1,0
388,11.0,0.23,0.18,0,0
335,12.0,0.19,0.18,0,0
273,45.0,0.52,0.15,1,1
756,44.0,0.48,0.18,0,1
488,29.0,0.39,0.18,1,0
550,26.0,0.31,0.18,1,0
901,76.0,0.62,0.18,0,1
53,81.0,0.41,0.06,0,0
932,50.0,0.6,0.18,0,1
1024,45.0,0.56,0.45,1,0
128,67.0,0.34,0.03,0,0
802,79.5,0.49,0.18,0,0
28,34.0,0.61,0.2,1,1
882,63.0,0.8,0.18,0,1
510,44.0,0.51,0.18,1,0
675,44.0,0.6,0.18,0,0
151,92.0,0.57,0.04,1,0
244,27.0,0.33,0.13,1,1
714,71.0,0.41,0.18,0,0
543,79.0,0.73,0.18,1,0
544,81.0,0.75,0.18,1,0
639,61.0,0.43,0.18,1,0
697,69.0,0.68,0.18,0,1
423,54.0,0.73,0.18,1,0
910,50.0,0.44,0.18,0,1
659,42.0,0.25,0.18,1,0
797,68.0,0.46,0.18,0,0
1045,98.0,0.91,0.25,1,1
99,83.0,0.46,0.12,1,0
850,87.0,0.52,0.18,0,0
448,74.0,0.38,0.18,1,0
755,60.0,0.4,0.18,0,1
976,99.0,0.69,0.18,0,1
115,42.0,0.4,0.15,1,1
777,60.0,0.63,0.18,0,1
72,66.0,0.41,0.1,1,1
845,56.0,0.63,0.18,0,1
537,64.0,0.75,0.18,1,0
849,84.0,0.59,0.18,0,0
174,65.0,0.49,0.06,0,1
87,64.0,0.56,0.07,0,0
551,49.0,0.34,0.18,1,0
705,48.0,0.61,0.18,0,1
314,13.5,0.17,0.18,0,0
600,41.0,0.53,0.18,1,0
599,26.0,0.58,0.18,1,0
277,44.0,0.42,0.16,1,1
1033,54.0,0.6,0.35,1,1
763,58.0,0.56,0.18,0,1
835,66.0,0.7,0.18,0,1
559,29.0,0.32,0.18,1,0
684,73.0,0.43,0.18,0,0
