,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,tip_of_stem_broken,infested
52,87.0,0.93,0.29,1,0
363,14.5,0.28,0.18,0,0
945,88.0,1.12,0.18,1,1
124,72.0,0.42,0.08,0,1
707,51.0,0.59,0.18,0,0
477,32.0,0.49,0.18,1,0
669,77.0,0.65,0.18,0,0
288,38.0,0.54,0.16,0,1
794,57.0,0.77,0.18,0,0
302,19.5,0.29,0.18,0,0
118,45.0,0.31,0.13,1,0
12,49.0,0.85,0.38,1,1
157,46.0,0.33,0.03,0,0
337,11.0,0.15,0.18,0,0
127,57.0,0.5,0.06,0,1
46,44.0,0.81,0.18,1,1
235,38.5,0.45,0.1,0,1
585,49.0,0.48,0.18,1,0
241,32.0,0.52,0.27,1,1
638,30.0,0.74,0.18,1,0
402,10.5,0.22,0.18,0,0
759,60.0,0.7,0.18,0,1
416,5.0,0.24,0.18,0,0
177,69.0,0.5,0.14,1,1
923,34.0,0.37,0.18,0,1
721,100.0,0.63,0.18,0,0
325,15.0,0.21,0.18,0,0
982,67.0,0.52,0.18,0,1
1052,54.0,0.65,0.54,1,0
350,6.5,0.18,0.18,0,0
422,56.0,0.67,0.18,1,0
17,41.0,0.69,0.28,1,1
1014,49.0,0.58,0.32,1,1
186,54.0,0.49,0.11,0,0
700,98.0,0.71,0.18,0,0
338,11.0,0.21,0.18,0,0
206,30.0,0.33,0.12,0,1
501,27.0,0.3,0.18,1,0
952,106.0,0.51,0.18,0,1
345,13.5,0.3,0.18,0,0
313,17.0,0.28,0.18,0,0
242,29.0,0.33,0.18,1,1
500,68.0,0.88,0.18,1,0
170,93.0,0.64,0.09,0,0
187,68.0,0.49,0.1,1,1
984,102.0,0.69,0.18,0,1
133,35.0,0.74,0.19,1,1
301,21.0,0.26,0.18,0,0
792,76.0,0.59,0.18,0,1
587,67.0,0.56,0.18,1,0
318,20.5,0.27,0.18,0,0
78,89.0,0.41,0.05,0,0
844,45.0,0.47,0.18,0,1
640,65.0,0.44,0.18,1,0
346,10.5,0.17,0.18,0,0
396,9.0,0.26,0.18,0,0
198,52.5,0.52,0.31,1,1
389,13.0,0.23,0.18,0,0
385,12.5,0.25,0.18,0,0
941,65.0,0.49,0.18,0,1
485,28.0,0.47,0.18,1,0
1001,76.0,0.98,0.34,1,1
983,99.0,0.72,0.18,0,1
740,62.0,0.58,0.18,0,0
229,24.0,0.32,0.12,1,1
793,69.0,0.46,0.18,0,0
21,42.0,0.45,0.11,0,1
702,56.0,0.57,0.18,0,0
796,62.0,0.49,0.18,0,0
649,33.0,0.26,0.18,1,0
250,62.5,0.61,0.13,1,1
243,32.0,0.35,0.13,0,1
619,58.0,0.43,0.18,1,0
35,34.0,0.62,0.12,1,1
81,52.0,0.43,0.05,0,1
159,51.0,0.37,0.14,1,1
732,70.0,0.47,0.18,0,0
333,19.0,0.21,0.18,0,0
911,99.0,0.63,0.18,0,1
957,99.0,1.05,0.18,1,1
728,83.0,0.36,0.18,0,0
109,82.0,0.88,0.26,1,0
492,34.0,0.4,0.18,1,1
379,9.5,0.24,0.18,0,0
815,65.0,0.49,0.18,0,1
966,87.0,0.62,0.18,0,1
92,48.0,0.27,0.06,0,0
748,99.0,0.56,0.18,0,0
479,22.0,0.29,0.18,1,0
968,61.0,0.42,0.18,0,1
934,73.0,0.44,0.18,0,1
390,8.5,0.17,0.18,0,0
626,42.0,0.31,0.18,1,0
70,75.0,0.32,0.05,0,0
491,54.0,0.77,0.18,1,1
211,45.0,0.52,0.24,1,1
171,62.0,0.42,0.08,0,1
165,49.0,0.28,0.05,1,1
238,49.0,0.61,0.25,1,1
188,67.0,0.53,0.12,0,1
874,33.0,0.56,0.18,0,1
686,91.0,0.7,0.18,0,0
676,49.0,0.48,0.18,0,0
344,12.0,0.22,0.18,0,0
588,36.0,0.36,0.18,1,0
963,80.0,0.79,0.21,1,0
1007,52.0,0.8,0.4,1,0
703,72.0,0.38,0.18,0,0
904,87.0,0.94,0.18,0,1
155,92.0,0.68,0.05,0,0
824,72.0,0.56,0.18,0,1
620,32.0,0.82,0.18,1,0
818,75.0,0.65,0.18,0,1
125,34.0,0.33,0.07,0,1
993,98.0,0.93,0.25,1,0
456,50.0,0.76,0.18,1,0
66,61.0,0.38,0.16,1,0
665,114.0,0.62,0.18,0,0
233,39.0,0.82,0.2,1,1
224,48.0,0.64,0.15,0,1
268,47.0,0.56,0.24,1,1
161,78.0,0.38,0.05,0,1
521,67.0,0.92,0.18,1,0
944,77.0,0.74,0.18,1,1
733,69.0,0.36,0.18,0,0
672,55.0,0.62,0.18,0,0
178,64.0,0.39,0.04,0,1
1041,67.0,0.75,0.17,1,1
415,13.0,0.21,0.18,0,0
100,88.0,0.43,0.09,0,1
680,91.0,0.63,0.18,0,0
678,77.0,0.72,0.18,0,0
334,11.5,0.16,0.18,0,0
761,53.0,0.54,0.18,0,0
220,43.0,0.45,0.16,1,1
391,8.0,0.18,0.18,0,0
309,15.5,0.2,0.18,0,0
841,60.0,0.55,0.18,0,1
965,80.0,0.64,0.18,0,1
1010,77.0,0.64,0.76,1,1
245,37.0,0.34,0.16,1,1
518,27.0,0.38,0.18,1,0
580,29.0,0.34,0.18,1,0
795,65.0,0.47,0.18,0,0
104,39.0,0.3,0.09,0,1
596,55.0,0.51,0.18,1,0
51,68.0,0.34,0.04,0,0
354,12.5,0.24,0.18,0,0
460,59.0,0.79,0.18,1,0
22,27.0,0.34,0.12,0,1
374,14.5,0.25,0.18,0,0
538,36.0,0.31,0.18,1,0
218,29.0,0.4,0.15,1,1
743,71.0,0.42,0.18,0,0
848,74.0,0.46,0.18,0,0
741,81.0,0.47,0.18,0,0
205,57.5,0.62,0.11,0,1
798,57.0,0.54,0.18,0,1
497,47.0,0.57,0.18,1,0
516,42.0,0.27,0.18,1,0
375,13.0,0.17,0.18,0,0
185,53.0,0.38,0.09,1,0
404,18.0,0.21,0.18,0,0
994,135.0,0.96,0.18,0,0
401,6.0,0.2,0.18,0,0
747,68.0,0.35,0.18,0,0
713,46.0,0.31,0.18,0,1
441,32.0,0.75,0.18,1,0
132,42.0,0.72,0.08,0,1
173,46.0,0.44,0.09,1,0
428,47.0,0.64,0.18,1,0
615,35.0,0.42,0.18,1,0
1047,38.0,0.75,0.62,1,1
822,60.0,0.56,0.18,0,1
681,83.0,0.57,0.18,0,0
96,63.0,0.5,0.05,0,0
642,34.0,0.71,0.18,1,0
499,73.0,0.5,0.18,1,0
74,95.0,0.61,0.03,0,0
89,62.0,0.48,0.15,1,0
658,16.0,0.46,0.18,1,0
618,63.0,0.5,0.18,1,0
0,64.0,0.78,0.26,1,1
558,30.0,0.35,0.18,1,0
392,14.5,0.31,0.18,0,0
476,33.0,0.41,0.18,1,0
867,58.0,0.47,0.18,0,1
519,52.0,0.68,0.18,1,0
107,69.0,0.74,0.14,1,0
783,45.0,0.39,0.18,0,1
689,97.0,0.8,0.18,0,0
223,32.0,0.4,0.11,0,1
327,10.0,0.24,0.18,0,0
102,79.0,0.66,0.13,1,0
857,54.0,0.46,0.18,0,0
475,32.0,0.62,0.18,1,0
213,61.0,0.68,0.23,1,1
135,40.0,0.62,0.22,1,1
246,37.0,0.33,0.07,0,1
1049,54.0,0.68,0.5,1,1
920,37.0,0.44,0.18,0,1
860,47.0,0.31,0.18,0,0
1046,18.0,0.37,0.36,1,1
365,10.0,0.27,0.18,0,0
883,30.0,0.33,0.18,0,1
26,43.0,0.61,0.36,1,1
939,39.0,0.29,0.18,0,1
417,13.0,0.16,0.18,0,0
613,40.0,0.3,0.18,1,0
887,42.0,0.43,0.18,0,1
3,59.0,0.64,0.26,1,1
134,25.0,0.49,0.2,1,1
355,11.5,0.23,0.18,0,0
956,72.0,0.59,0.18,1,1
833,73.0,0.69,0.18,0,1
1038,67.0,0.56,0.26,1,1
608,52.0,0.43,0.18,1,0
859,51.0,0.37,0.18,0,0
225,26.5,0.43,0.1,0,1
894,50.0,0.67,0.18,0,1
369,19.0,0.21,0.18,0,0
738,70.0,0.49,0.18,0,0
339,14.0,0.18,0.18,0,0
419,91.0,0.7,0.18,1,0
603,45.0,0.51,0.18,1,0
903,88.0,0.71,0.18,0,1
265,52.0,0.47,0.1,1,1
454,58.0,0.76,0.18,1,0
