,main_stem_length_in_cm,stem_diam_bottom_in_cm,diam_top_in_cm,infested,tip_of_stem_broken
3,59.0,0.64,0.26,1,1
254,54.0,0.53,0.08,1,0
125,34.0,0.33,0.06999999999999999,1,0
24,37.0,0.65,0.16,1,0
30,40.0,0.57,0.31,1,1
77,55.0,0.39,0.02,0,0
233,39.0,0.82,0.2,1,1
189,96.0,0.88,0.18,0,1
185,53.0,0.38,0.09,0,1
1032,46.0,0.7,0.41,1,1
1054,37.0,0.55,0.43,1,1
1041,67.0,0.75,0.16999999999999998,1,1
19,35.0,0.53,0.19,1,1
993,98.0,0.93,0.25,0,1
997,79.0,0.86,0.3,1,1
183,91.0,0.81,0.12,1,1
1014,49.0,0.58,0.32,1,1
80,61.0,0.48,0.1,0,0
51,68.0,0.34,0.04,0,0
2,33.0,0.66,0.26,1,1
11,45.0,0.51,0.25,1,1
104,39.0,0.3,0.09,1,0
275,34.0,0.44,0.27,1,1
86,67.0,0.5,0.06,1,0
36,27.0,0.36,0.15,1,0
1044,124.0,0.87,0.18,1,1
58,101.0,0.4,0.04,0,0
41,30.0,0.4,0.16999999999999998,1,1
50,85.0,0.48,0.05,0,0
210,31.0,0.48,0.2,1,1
980,92.0,1.09,0.27999999999999997,0,1
1002,8.0,0.41,0.38,1,1
974,80.0,0.55,0.12,1,1
123,40.0,0.29,0.06999999999999999,1,0
223,32.0,0.4,0.11000000000000001,1,0
62,72.0,0.36,0.02,0,0
279,38.0,0.43,0.13,1,0
130,54.0,0.38,0.06,0,1
188,67.0,0.53,0.12,1,0
23,31.0,0.43,0.16,1,0
43,33.0,0.55,0.12,1,1
0,64.0,0.78,0.26,1,1
202,62.5,0.59,0.13999999999999999,1,1
987,46.0,0.52,0.33999999999999997,1,1
98,60.0,0.41,0.16999999999999998,0,1
179,98.0,0.8,0.04,0,0
257,22.0,0.19,0.08,1,0
94,83.0,0.34,0.05,0,0
1030,38.0,0.49,0.38,1,1
95,69.0,0.63,0.16999999999999998,0,1
1006,44.0,0.38,0.12,1,1
170,93.0,0.64,0.09,0,0
69,85.0,0.81,0.21000000000000002,0,1
48,36.0,0.55,0.19,0,1
208,40.5,0.35,0.18,1,1
280,39.0,0.44,0.09,1,0
228,17.5,0.23,0.1,1,1
148,36.0,0.22,0.03,0,0
143,39.0,0.29,0.06,0,0
181,51.0,0.52,0.12,1,0
131,38.0,0.26,0.06,1,1
1015,49.0,0.39,0.09,1,1
1060,50.0,0.67,0.39,1,1
263,59.0,0.5,0.11000000000000001,1,1
204,39.5,0.44,0.13999999999999999,1,1
84,79.0,0.9,0.26,0,1
121,39.0,0.31,0.08,1,0
996,90.0,0.72,0.13999999999999999,1,1
1039,81.0,0.51,0.13999999999999999,0,1
91,75.0,0.48,0.03,0,0
82,47.0,0.25,0.06,0,0
268,47.0,0.56,0.24,1,1
119,65.0,0.82,0.22999999999999998,0,1
292,39.0,0.59,0.21000000000000002,1,1
57,65.0,0.53,0.09,0,1
258,50.0,0.48,0.12,1,0
1013,46.0,0.78,0.53,1,1
42,22.0,0.51,0.22999999999999998,1,1
105,88.0,0.47,0.09,0,0
274,39.0,0.38,0.13,1,1
1009,67.0,0.7,0.26,1,1
38,31.0,0.46,0.12,1,0
53,81.0,0.41,0.06,0,0
1001,76.0,0.98,0.33999999999999997,1,1
128,67.0,0.34,0.03,0,0
291,33.5,0.34,0.1,1,0
28,34.0,0.61,0.2,1,1
184,78.0,0.52,0.16999999999999998,1,1
163,72.0,0.57,0.12,1,1
151,92.0,0.57,0.04,0,1
245,37.0,0.34,0.16,1,1
203,56.0,0.6,0.11000000000000001,1,1
31,34.0,0.42,0.22000000000000003,1,1
32,35.0,0.61,0.16,1,1
127,57.0,0.5,0.06,1,0
186,54.0,0.49,0.11000000000000001,0,0
1033,54.0,0.6,0.35,1,1
289,37.0,0.4,0.09,1,0
1036,53.0,0.38,0.22999999999999998,1,1
147,37.0,0.38,0.13999999999999999,1,1
286,29.0,0.39,0.09,1,0
1031,32.0,0.47,0.42000000000000004,1,1
178,64.0,0.39,0.04,1,0
99,83.0,0.46,0.12,0,1
1026,41.0,0.35,0.25,0,1
198,52.5,0.52,0.31,1,1
244,27.0,0.33,0.13,1,1
115,42.0,0.4,0.15,1,1
266,41.0,0.4,0.21000000000000002,1,1
72,66.0,0.41,0.1,1,1
1024,45.0,0.56,0.45,0,1
25,41.0,0.48,0.13,1,0
165,49.0,0.28,0.05,1,1
1028,35.0,0.45,0.39,1,1
1046,18.0,0.37,0.36,1,1
175,82.0,0.69,0.2,0,1
1048,36.0,0.47,0.45999999999999996,1,1
39,38.0,0.53,0.21000000000000002,1,1
194,51.0,0.72,0.21000000000000002,1,1
991,115.0,0.73,0.16,1,1
88,66.0,0.42,0.05,0,0
70,75.0,0.32,0.05,0,0
87,64.0,0.56,0.06999999999999999,0,0
293,31.5,0.38,0.15,1,0
243,32.0,0.35,0.13,1,0
278,40.0,0.4,0.19,1,0
212,42.0,0.54,0.18,1,1
9,50.0,0.39,0.11000000000000001,1,0
1051,43.0,0.57,0.44000000000000006,1,1
196,53.0,0.34,0.04,1,0
252,40.0,0.53,0.2,1,1
1007,52.0,0.8,0.4,0,1
193,51.0,0.33,0.09,0,0
117,57.0,0.62,0.16,1,1
47,21.0,0.35,0.16,1,1
173,46.0,0.44,0.09,0,1
