,stem_diam_bottom_in_cm,diam_top_in_cm,side_branches_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
710,0.43,0.18,60.23,0,0,0,0,47.0
657,0.38,0.18,60.23,0,1,0,0,24.0
414,0.19,0.18,60.23,0,0,0,0,2.0
662,0.53,0.18,127.0,0,1,0,0,16.0
1055,0.61,0.47,60.23,1,1,1,0,49.0
973,0.8,0.35,60.23,1,1,1,1,72.0
789,0.57,0.18,60.23,2,0,1,0,60.0
997,0.86,0.3,60.23,1,1,1,0,79.0
813,0.8,0.18,60.23,3,0,1,0,53.0
322,0.14,0.18,60.23,0,0,0,0,11.0
556,0.4,0.18,60.23,0,1,0,0,54.0
357,0.14,0.18,60.23,0,0,0,0,7.0
69,0.81,0.21,60.23,0,1,0,0,85.0
514,0.52,0.18,25.0,0,1,0,0,40.0
509,0.36,0.18,60.23,0,1,0,0,21.0
340,0.27,0.18,60.23,0,0,0,0,23.5
221,0.57,0.18,60.23,20,1,1,19,44.0
1016,0.55,0.23,60.23,14,1,1,0,74.0
146,0.31,0.16,60.23,6,1,1,6,34.0
289,0.4,0.09,60.23,8,0,1,6,37.0
753,0.33,0.18,39.0,6,0,1,1,58.0
29,0.64,0.35,60.23,22,1,1,22,27.5
114,0.35,0.12,60.23,1,1,1,1,51.0
508,0.44,0.18,60.23,0,1,0,0,51.0
958,0.7,0.18,60.23,0,1,0,0,77.0
1051,0.57,0.44,60.23,6,1,1,3,43.0
176,0.44,0.07,60.23,1,0,1,1,72.0
168,0.56,0.05,60.23,0,0,0,0,75.0
347,0.23,0.18,60.23,0,0,0,0,12.0
376,0.19,0.18,60.23,0,0,0,0,18.0
828,0.59,0.18,60.23,14,0,1,2,52.0
949,0.89,0.18,60.23,6,0,1,1,125.0
928,0.43,0.18,60.23,9,0,1,2,53.0
838,0.51,0.18,60.23,7,0,1,1,68.0
189,0.88,0.18,60.23,0,1,0,0,96.0
136,0.46,0.18,60.23,10,1,1,10,43.0
446,0.63,0.18,79.0,0,1,0,0,39.0
913,0.53,0.18,60.23,35,0,1,7,116.0
254,0.53,0.08,60.23,16,0,1,16,54.0
961,0.67,0.18,60.23,1,0,1,1,113.0
290,0.38,0.11,60.23,22,0,1,22,29.0
459,0.37,0.18,60.23,0,1,0,0,33.0
768,0.53,0.18,109.0,4,0,1,0,44.0
921,0.33,0.18,60.23,1,0,1,0,43.0
767,0.44,0.18,60.23,0,0,0,0,52.0
232,0.51,0.21,60.23,20,1,1,12,42.0
645,0.33,0.18,60.23,0,1,0,0,42.0
33,0.45,0.14,60.23,9,1,1,3,43.0
88,0.42,0.05,60.23,0,0,0,0,66.0
44,0.3,0.2,60.23,5,0,1,1,25.0
341,0.24,0.18,60.23,0,0,0,0,9.0
61,0.42,0.07,60.23,0,0,0,0,65.0
1037,0.49,0.28,60.23,6,1,1,1,54.0
199,0.43,0.06,60.23,5,0,1,5,58.0
429,0.62,0.18,60.23,0,1,0,0,44.0
810,0.5,0.18,60.23,2,0,1,0,65.0
394,0.21,0.18,60.23,0,0,0,0,12.5
1048,0.47,0.46,60.23,10,1,1,1,36.0
831,0.63,0.18,60.23,15,0,1,2,64.0
730,0.34,0.18,60.23,0,0,0,0,57.0
297,0.24,0.14,60.23,10,0,1,10,25.0
73,0.51,0.11,60.23,0,1,0,0,83.0
393,0.24,0.18,60.23,0,0,0,0,10.0
547,0.55,0.18,24.0,0,1,0,0,39.0
579,0.35,0.18,60.23,0,1,0,0,30.0
541,0.58,0.18,46.0,0,1,0,0,38.0
929,0.39,0.18,60.23,3,0,1,0,43.0
907,0.41,0.18,60.23,21,0,1,1,61.0
914,0.42,0.18,60.23,21,0,1,4,59.0
663,0.36,0.18,60.23,0,1,0,0,42.0
217,0.51,0.1,60.23,31,1,1,24,47.5
539,0.59,0.18,60.23,0,1,0,0,25.0
897,0.89,0.18,60.23,28,0,1,6,85.0
902,0.68,0.18,60.23,20,0,1,3,51.0
623,0.34,0.18,60.23,0,1,0,0,35.0
668,0.51,0.18,60.23,0,0,0,0,110.0
898,0.56,0.18,60.23,13,0,1,3,32.0
421,0.53,0.18,60.23,0,1,0,0,45.0
694,0.48,0.18,60.23,8,0,1,0,67.0
138,0.8,0.3,60.23,3,1,1,2,75.0
212,0.54,0.18,60.23,10,1,1,9,42.0
616,0.53,0.18,22.0,0,1,0,0,31.0
916,0.43,0.18,60.23,10,0,1,0,34.0
912,0.33,0.18,60.23,8,0,1,0,38.0
942,0.4,0.18,60.23,9,0,1,0,20.0
727,0.55,0.18,60.23,0,0,0,0,86.0
709,0.59,0.18,26.0,1,0,1,0,42.0
701,0.62,0.18,83.0,0,0,0,0,64.0
726,0.65,0.18,60.23,0,0,0,0,99.0
1003,0.43,0.23,60.23,18,1,1,1,40.0
716,0.57,0.18,60.23,0,0,0,0,75.0
234,0.55,0.07,60.23,44,0,1,13,48.0
771,0.6,0.18,60.23,10,0,1,1,58.0
67,0.55,0.15,60.23,0,1,0,0,57.0
24,0.65,0.16,60.23,6,0,1,6,37.0
381,0.26,0.18,60.23,0,0,0,0,4.0
216,0.48,0.11,60.23,15,1,1,11,30.5
812,0.39,0.18,60.23,0,0,0,0,60.0
735,0.55,0.18,60.23,0,0,0,0,95.0
129,0.58,0.09,60.23,1,1,1,0,62.0
349,0.18,0.18,60.23,0,0,0,0,11.0
111,0.62,0.12,60.23,4,1,1,4,67.0
166,0.72,0.05,60.23,0,0,0,0,100.0
1000,0.78,0.18,60.23,0,0,0,0,115.0
207,0.34,0.17,60.23,7,1,1,7,34.0
438,0.34,0.18,60.23,0,1,0,0,34.0
552,0.67,0.18,19.0,0,1,0,0,54.0
274,0.38,0.13,60.23,5,1,1,5,39.0
924,0.32,0.18,60.23,0,0,0,0,22.0
591,0.68,0.18,18.0,0,1,0,0,56.0
980,1.09,0.28,60.23,0,1,0,0,92.0
1002,0.41,0.38,60.23,1,1,1,0,8.0
839,0.51,0.18,60.23,10,0,1,0,54.0
525,0.6,0.18,9.0,0,1,0,0,41.0
287,0.36,0.18,60.23,9,0,1,9,29.5
469,0.51,0.18,60.23,0,1,0,0,36.0
326,0.15,0.18,60.23,0,0,0,0,13.0
121,0.31,0.08,60.23,10,0,1,10,39.0
1062,0.53,0.21,60.23,1,1,1,1,51.0
507,0.35,0.18,60.23,0,1,0,0,28.0
228,0.23,0.1,60.23,10,1,1,1,17.5
673,0.33,0.18,60.23,0,0,0,0,88.0
595,0.68,0.18,73.0,0,1,0,0,59.0
445,0.41,0.18,60.23,0,1,0,0,31.0
117,0.62,0.16,60.23,6,1,1,6,57.0
464,0.56,0.18,60.23,0,1,0,0,57.0
25,0.48,0.13,60.23,10,0,1,10,41.0
110,0.67,0.05,60.23,0,0,0,0,90.0
149,0.31,0.16,60.23,1,1,1,1,31.0
152,0.68,0.06,60.23,0,0,0,0,110.0
528,0.67,0.18,35.0,0,1,0,0,62.0
696,0.49,0.18,19.0,0,0,0,0,69.0
843,0.51,0.18,60.23,18,0,1,0,54.0
621,0.44,0.18,53.0,0,1,0,0,31.0
461,0.66,0.18,60.23,0,1,0,0,48.0
598,0.65,0.18,46.0,0,1,0,0,51.0
139,0.65,0.05,60.23,5,0,1,4,48.0
749,0.51,0.18,39.0,5,0,1,0,64.0
260,0.62,0.2,60.23,22,1,1,22,55.0
864,0.83,0.18,60.23,24,0,1,2,51.0
925,0.34,0.18,60.23,1,0,1,0,29.0
829,0.42,0.18,60.23,15,0,1,0,58.0
323,0.21,0.18,60.23,0,0,0,0,15.5
979,1.08,0.48,60.23,0,1,0,0,71.0
248,0.27,0.08,60.23,12,0,1,12,29.0
450,0.43,0.18,60.23,0,1,0,0,49.0
410,0.14,0.18,60.23,0,0,0,0,5.0
840,0.71,0.18,60.23,28,0,1,2,58.0
607,0.48,0.18,60.23,0,1,0,0,63.0
19,0.53,0.19,60.23,8,1,1,7,35.0
328,0.23,0.18,60.23,0,0,0,0,12.0
296,0.31,0.06,60.23,10,0,1,8,27.5
880,0.64,0.18,60.23,12,0,1,1,43.0
269,0.37,0.05,60.23,9,0,1,6,47.0
875,0.41,0.18,60.23,16,0,1,0,28.0
226,0.49,0.2,60.23,26,1,1,17,41.0
94,0.34,0.05,60.23,0,0,0,0,83.0
515,0.36,0.18,60.23,0,1,0,0,54.0
915,0.41,0.18,60.23,10,0,1,3,34.0
637,0.44,0.18,60.23,0,1,0,0,56.0
280,0.44,0.09,60.23,17,0,1,16,39.0
286,0.39,0.09,60.23,10,0,1,10,29.0
589,0.49,0.18,60.23,0,1,0,0,42.0
1018,0.76,0.45,60.23,2,1,1,0,45.0
444,0.33,0.18,60.23,0,1,0,0,27.0
184,0.52,0.17,60.23,8,1,1,8,78.0
371,0.39,0.18,60.23,0,0,0,0,25.0
950,0.73,0.18,60.23,2,0,1,0,99.0
1053,0.62,0.57,60.23,2,1,1,1,55.0
275,0.44,0.27,60.23,17,1,1,17,34.0
806,0.65,0.18,60.23,0,0,0,0,77.0
1023,0.5,0.34,60.23,4,1,1,0,44.0
182,0.83,0.09,60.23,1,1,1,1,77.0
32,0.61,0.16,60.23,11,1,1,10,35.0
80,0.48,0.1,60.23,0,0,0,0,61.0
307,0.2,0.18,60.23,0,0,0,0,16.5
770,0.52,0.18,60.23,5,0,1,0,58.0
11,0.51,0.25,60.23,16,1,1,16,45.0
872,0.36,0.18,60.23,16,0,1,0,34.0
43,0.55,0.12,60.23,7,1,1,0,33.0
86,0.5,0.06,60.23,4,0,1,4,67.0
778,0.49,0.18,60.23,1,0,1,0,68.0
36,0.36,0.15,60.23,7,0,1,5,27.0
1056,0.76,0.65,60.23,0,1,0,0,48.0
58,0.4,0.04,60.23,0,0,0,0,101.0
41,0.4,0.17,60.23,10,1,1,8,30.0
782,0.69,0.18,60.23,4,0,1,0,57.0
411,0.22,0.18,60.23,0,0,0,0,10.0
562,0.9,0.18,60.23,0,1,0,0,78.0
209,0.67,0.17,60.23,11,0,1,11,41.5
148,0.22,0.03,60.23,0,0,0,0,36.0
739,0.47,0.18,60.23,0,0,0,0,73.0
594,0.25,0.18,60.23,0,1,0,0,14.0
123,0.29,0.07,60.23,3,0,1,3,40.0
734,0.7,0.18,124.0,0,0,0,0,92.0
931,0.51,0.18,60.23,9,0,1,2,84.0
574,0.39,0.18,33.0,0,1,0,0,46.0
98,0.41,0.17,60.23,0,1,0,0,60.0
377,0.23,0.18,60.23,0,0,0,0,8.5
130,0.38,0.06,60.23,0,1,0,0,54.0
699,0.38,0.18,46.0,1,0,1,0,43.0
23,0.43,0.16,60.23,21,0,1,21,31.0
946,0.85,0.18,60.23,2,1,1,0,93.0
555,0.77,0.18,53.0,0,1,0,0,70.0
370,0.3,0.18,60.23,0,0,0,0,20.0
906,0.79,0.18,60.23,62,0,1,8,106.0
512,0.34,0.18,60.23,0,1,0,0,41.0
383,0.24,0.18,60.23,0,0,0,0,11.0
201,0.76,0.27,60.23,16,1,1,8,62.0
917,0.42,0.18,60.23,4,0,1,0,38.0
368,0.32,0.18,60.23,0,0,0,0,15.5
554,0.65,0.18,17.0,0,1,0,0,66.0
610,0.53,0.18,32.0,0,1,0,0,44.0
387,0.2,0.18,60.23,0,0,0,0,11.0
861,0.65,0.18,60.23,3,0,1,0,111.0
816,0.6,0.18,60.23,6,0,1,0,81.0
930,0.5,0.18,60.23,13,0,1,6,48.0
292,0.59,0.21,60.23,8,1,1,7,39.0
690,0.63,0.18,60.23,0,0,0,0,81.0
881,0.63,0.18,60.23,8,0,1,0,53.0
256,0.64,0.17,60.23,27,1,1,26,54.0
606,0.65,0.18,60.23,0,1,0,0,66.0
197,0.32,0.08,60.23,0,1,0,0,57.0
95,0.63,0.17,60.23,0,1,0,0,69.0
1044,0.87,0.18,60.23,20,1,1,1,124.0
1029,0.5,0.39,60.23,11,1,1,1,40.0
169,0.56,0.07,60.23,1,0,1,1,100.0
581,0.21,0.18,60.23,0,1,0,0,32.0
305,0.35,0.18,60.23,0,0,0,0,25.0
560,0.39,0.18,60.23,0,1,0,0,31.0
853,0.66,0.18,60.23,1,0,1,0,66.0
373,0.31,0.18,60.23,0,0,0,0,23.5
909,0.53,0.18,60.23,38,0,1,11,31.0
719,0.56,0.18,60.23,0,0,0,0,96.0
791,0.61,0.18,60.23,0,0,0,0,68.0
954,0.79,0.18,60.23,7,1,1,0,102.0
227,0.44,0.23,60.23,9,1,1,8,32.0
660,0.28,0.18,60.23,0,1,0,0,35.0
143,0.29,0.06,60.23,0,0,0,0,39.0
846,0.68,0.18,60.23,0,0,0,0,72.0
180,0.37,0.08,60.23,0,1,0,0,58.0
868,0.58,0.18,60.23,19,0,1,2,32.0
972,0.78,0.18,60.23,4,0,1,1,107.0
131,0.26,0.06,60.23,5,1,1,3,38.0
1035,0.64,0.38,60.23,6,1,1,0,73.0
47,0.35,0.16,60.23,28,1,1,26,21.0
964,0.92,0.24,60.23,1,1,1,0,122.0
774,0.63,0.18,60.23,19,0,1,0,44.0
324,0.22,0.18,60.23,0,0,0,0,18.5
203,0.6,0.11,60.23,34,1,1,14,56.0
84,0.9,0.26,60.23,0,1,0,0,79.0
938,0.73,0.18,60.23,4,0,1,0,30.0
633,0.62,0.18,60.23,0,1,0,0,51.0
908,0.5,0.18,60.23,17,0,1,0,72.0
565,0.87,0.18,58.0,0,1,0,0,62.0
611,0.51,0.18,60.23,0,1,0,0,55.0
398,0.17,0.18,60.23,0,0,0,0,14.0
896,0.48,0.18,60.23,18,0,1,1,59.0
91,0.48,0.03,60.23,0,0,0,0,75.0
82,0.25,0.06,60.23,0,0,0,0,47.0
430,0.56,0.18,60.23,0,1,0,0,66.0
779,0.54,0.18,60.23,11,0,1,2,55.0
119,0.82,0.23,60.23,0,1,0,0,65.0
870,0.46,0.18,60.23,28,0,1,7,42.0
291,0.34,0.1,60.23,15,0,1,15,33.5
57,0.53,0.09,60.23,0,1,0,0,65.0
937,0.35,0.18,60.23,10,0,1,0,96.0
999,0.98,0.18,60.23,6,0,1,0,120.0
321,0.19,0.18,60.23,0,0,0,0,11.0
257,0.19,0.08,60.23,3,0,1,3,22.0
888,0.47,0.18,60.23,8,0,1,0,50.0
1061,0.45,0.18,60.23,8,0,1,2,46.0
442,0.5,0.18,60.23,0,1,0,0,53.0
42,0.51,0.23,60.23,23,1,1,23,22.0
617,0.6,0.18,60.0,0,1,0,0,24.0
388,0.23,0.18,60.23,0,0,0,0,11.0
335,0.19,0.18,60.23,0,0,0,0,12.0
273,0.52,0.15,60.23,22,1,1,21,45.0
756,0.48,0.18,60.23,11,0,1,1,44.0
488,0.39,0.18,60.23,0,1,0,0,29.0
550,0.31,0.18,60.23,0,1,0,0,26.0
901,0.62,0.18,60.23,3,0,1,0,76.0
53,0.41,0.06,60.23,0,0,0,0,81.0
932,0.6,0.18,60.23,6,0,1,0,50.0
1024,0.56,0.45,60.23,0,1,0,0,45.0
128,0.34,0.03,60.23,0,0,0,0,67.0
802,0.49,0.18,60.23,0,0,0,0,79.5
28,0.61,0.2,60.23,17,1,1,17,34.0
882,0.8,0.18,60.23,21,0,1,2,63.0
510,0.51,0.18,60.23,0,1,0,0,44.0
675,0.6,0.18,134.0,0,0,0,0,44.0
151,0.57,0.04,60.23,0,1,0,0,92.0
244,0.33,0.13,60.23,17,1,1,17,27.0
714,0.41,0.18,60.23,0,0,0,0,71.0
543,0.73,0.18,50.0,0,1,0,0,79.0
544,0.75,0.18,45.0,0,1,0,0,81.0
639,0.43,0.18,60.23,0,1,0,0,61.0
697,0.68,0.18,60.23,8,0,1,0,69.0
423,0.73,0.18,60.23,0,1,0,0,54.0
910,0.44,0.18,60.23,22,0,1,4,50.0
659,0.25,0.18,60.23,0,1,0,0,42.0
797,0.46,0.18,60.23,0,0,0,0,68.0
1045,0.91,0.25,60.23,9,1,1,1,98.0
99,0.46,0.12,60.23,0,1,0,0,83.0
850,0.52,0.18,60.23,0,0,0,0,87.0
448,0.38,0.18,60.23,0,1,0,0,74.0
755,0.4,0.18,60.23,5,0,1,0,60.0
976,0.69,0.18,60.23,5,0,1,1,99.0
115,0.4,0.15,60.23,9,1,1,9,42.0
777,0.63,0.18,60.23,23,0,1,1,60.0
72,0.41,0.1,60.23,2,1,1,1,66.0
845,0.63,0.18,60.23,21,0,1,1,56.0
537,0.75,0.18,60.23,0,1,0,0,64.0
849,0.59,0.18,60.23,0,0,0,0,84.0
174,0.49,0.06,60.23,4,0,1,4,65.0
87,0.56,0.07,60.23,0,0,0,0,64.0
551,0.34,0.18,60.23,0,1,0,0,49.0
705,0.61,0.18,21.0,3,0,1,0,48.0
314,0.17,0.18,60.23,0,0,0,0,13.5
600,0.53,0.18,60.23,0,1,0,0,41.0
599,0.58,0.18,60.23,0,1,0,0,26.0
277,0.42,0.16,60.23,8,1,1,8,44.0
1033,0.6,0.35,60.23,14,1,1,3,54.0
763,0.56,0.18,194.0,5,0,1,1,58.0
835,0.7,0.18,60.23,15,0,1,1,66.0
559,0.32,0.18,60.23,0,1,0,0,29.0
684,0.43,0.18,36.0,0,0,0,0,73.0
