,stem_diam_bottom_in_cm,diam_top_in_cm,side_branches_in_cm,total_meja,tip_of_stem_broken,infested,total_number_adults,main_stem_length_in_cm
1020,0.94,0.3,60.23,9,1,1,0,77.0
156,0.41,0.04,60.23,4,1,1,4,64.0
222,0.6,0.36,60.23,29,1,1,26,36.0
698,0.48,0.18,20.0,4,0,1,0,62.0
210,0.48,0.2,60.23,7,1,1,3,31.0
306,0.23,0.18,60.23,0,0,0,0,24.0
809,0.78,0.18,60.23,7,0,1,0,75.0
1042,0.58,0.35,60.23,1,1,1,0,62.0
758,0.49,0.18,60.23,0,0,0,0,54.0
167,0.42,0.18,60.23,0,0,0,0,74.0
720,0.69,0.18,60.23,0,0,0,0,86.0
622,0.47,0.18,60.23,0,1,0,0,34.0
399,0.18,0.18,60.23,0,0,0,0,12.0
10,0.5,0.27,60.23,23,1,1,23,48.0
105,0.47,0.09,60.23,0,0,0,0,88.0
68,0.72,0.16,60.23,0,1,0,0,58.0
90,0.48,0.09,60.23,0,1,0,0,83.0
467,0.49,0.18,13.0,0,1,0,0,49.0
427,0.53,0.18,60.23,0,1,0,0,57.0
506,0.48,0.18,60.23,0,1,0,0,49.0
258,0.48,0.12,60.23,5,0,1,3,50.0
614,0.4,0.18,66.0,0,1,0,0,24.0
650,0.3,0.18,60.23,0,1,0,0,36.0
304,0.19,0.18,60.23,0,0,0,0,19.0
1027,0.51,0.22,60.23,18,1,1,4,48.0
564,0.66,0.18,60.23,0,1,0,0,52.0
1026,0.35,0.25,60.23,0,1,0,0,41.0
1012,0.68,0.18,60.23,0,0,0,0,82.0
208,0.35,0.18,60.23,13,1,1,11,40.5
20,0.5,0.16,60.23,21,0,1,17,33.0
494,1.08,0.18,60.23,0,1,0,0,10.0
989,0.68,0.18,60.23,2,0,1,1,97.0
629,0.52,0.18,60.23,0,1,0,0,50.0
836,0.55,0.18,60.23,22,0,1,4,60.0
285,0.51,0.22,60.23,7,0,1,6,39.0
1011,0.51,0.18,60.23,34,0,1,3,66.0
71,0.39,0.05,60.23,0,0,0,0,51.0
49,0.41,0.2,60.23,21,0,1,15,36.0
179,0.8,0.04,60.23,0,0,0,0,98.0
854,0.57,0.18,60.23,0,0,0,0,65.0
378,0.21,0.18,60.23,0,0,0,0,13.0
116,0.33,0.08,60.23,3,1,1,3,53.0
293,0.38,0.15,60.23,20,0,1,20,31.5
76,0.4,0.15,60.23,1,1,1,1,49.0
48,0.55,0.19,60.23,6,1,0,5,36.0
1025,0.55,0.42,60.23,8,1,1,3,40.0
263,0.5,0.11,60.23,48,1,1,48,59.0
877,0.77,0.18,60.23,33,0,1,5,132.0
757,0.38,0.18,60.23,3,0,1,0,46.0
800,0.51,0.18,60.23,0,0,0,0,62.0
443,0.32,0.18,60.23,0,1,0,0,41.0
