,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
95,0,0.17,0.63,1,69.0
1044,20,0.18,0.87,1,124.0
1029,11,0.39,0.5,1,40.0
169,1,0.07,0.56,0,100.0
581,0,0.18,0.21,1,32.0
305,0,0.18,0.35,0,25.0
560,0,0.18,0.39,1,31.0
853,1,0.18,0.66,0,66.0
373,0,0.18,0.31,0,23.5
909,38,0.18,0.53,0,31.0
719,0,0.18,0.56,0,96.0
791,0,0.18,0.61,0,68.0
954,7,0.18,0.79,1,102.0
227,9,0.23,0.44,1,32.0
660,0,0.18,0.28,1,35.0
143,0,0.06,0.29,0,39.0
846,0,0.18,0.68,0,72.0
180,0,0.08,0.37,1,58.0
868,19,0.18,0.58,0,32.0
972,4,0.18,0.78,0,107.0
131,5,0.06,0.26,1,38.0
1035,6,0.38,0.64,1,73.0
47,28,0.16,0.35,1,21.0
964,1,0.24,0.92,1,122.0
774,19,0.18,0.63,0,44.0
324,0,0.18,0.22,0,18.5
203,34,0.11,0.6,1,56.0
84,0,0.26,0.9,1,79.0
938,4,0.18,0.73,0,30.0
633,0,0.18,0.62,1,51.0
908,17,0.18,0.5,0,72.0
565,0,0.18,0.87,1,62.0
611,0,0.18,0.51,1,55.0
398,0,0.18,0.17,0,14.0
896,18,0.18,0.48,0,59.0
91,0,0.03,0.48,0,75.0
82,0,0.06,0.25,0,47.0
430,0,0.18,0.56,1,66.0
779,11,0.18,0.54,0,55.0
119,0,0.23,0.82,1,65.0
870,28,0.18,0.46,0,42.0
291,15,0.1,0.34,0,33.5
57,0,0.09,0.53,1,65.0
937,10,0.18,0.35,0,96.0
999,6,0.18,0.98,0,120.0
321,0,0.18,0.19,0,11.0
257,3,0.08,0.19,0,22.0
888,8,0.18,0.47,0,50.0
1061,8,0.18,0.45,0,46.0
442,0,0.18,0.5,1,53.0
42,23,0.23,0.51,1,22.0
617,0,0.18,0.6,1,24.0
388,0,0.18,0.23,0,11.0
335,0,0.18,0.19,0,12.0
273,22,0.15,0.52,1,45.0
756,11,0.18,0.48,0,44.0
488,0,0.18,0.39,1,29.0
550,0,0.18,0.31,1,26.0
901,3,0.18,0.62,0,76.0
53,0,0.06,0.41,0,81.0
932,6,0.18,0.6,0,50.0
1024,0,0.45,0.56,1,45.0
128,0,0.03,0.34,0,67.0
802,0,0.18,0.49,0,79.5
28,17,0.2,0.61,1,34.0
882,21,0.18,0.8,0,63.0
510,0,0.18,0.51,1,44.0
675,0,0.18,0.6,0,44.0
151,0,0.04,0.57,1,92.0
244,17,0.13,0.33,1,27.0
714,0,0.18,0.41,0,71.0
543,0,0.18,0.73,1,79.0
544,0,0.18,0.75,1,81.0
639,0,0.18,0.43,1,61.0
697,8,0.18,0.68,0,69.0
423,0,0.18,0.73,1,54.0
910,22,0.18,0.44,0,50.0
659,0,0.18,0.25,1,42.0
797,0,0.18,0.46,0,68.0
1045,9,0.25,0.91,1,98.0
99,0,0.12,0.46,1,83.0
850,0,0.18,0.52,0,87.0
448,0,0.18,0.38,1,74.0
755,5,0.18,0.4,0,60.0
976,5,0.18,0.69,0,99.0
115,9,0.15,0.4,1,42.0
777,23,0.18,0.63,0,60.0
72,2,0.1,0.41,1,66.0
845,21,0.18,0.63,0,56.0
537,0,0.18,0.75,1,64.0
849,0,0.18,0.59,0,84.0
174,4,0.06,0.49,0,65.0
87,0,0.07,0.56,0,64.0
551,0,0.18,0.34,1,49.0
705,3,0.18,0.61,0,48.0
314,0,0.18,0.17,0,13.5
600,0,0.18,0.53,1,41.0
599,0,0.18,0.58,1,26.0
277,8,0.16,0.42,1,44.0
1033,14,0.35,0.6,1,54.0
763,5,0.18,0.56,0,58.0
835,15,0.18,0.7,0,66.0
559,0,0.18,0.32,1,29.0
684,0,0.18,0.43,0,73.0
