,total_meja,diam_top_in_cm,stem_diam_bottom_in_cm,tip_of_stem_broken,main_stem_length_in_cm
52,0,0.29,0.93,1,87.0
363,0,0.18,0.28,0,14.5
945,2,0.18,1.12,1,88.0
124,4,0.08,0.42,0,72.0
707,0,0.18,0.59,0,51.0
477,0,0.18,0.49,1,32.0
669,0,0.18,0.65,0,77.0
288,17,0.16,0.54,0,38.0
794,0,0.18,0.77,0,57.0
302,0,0.18,0.29,0,19.5
118,0,0.13,0.31,1,45.0
12,28,0.38,0.85,1,49.0
157,0,0.03,0.33,0,46.0
337,0,0.18,0.15,0,11.0
127,7,0.06,0.5,0,57.0
46,14,0.18,0.81,1,44.0
235,13,0.1,0.45,0,38.5
585,0,0.18,0.48,1,49.0
241,11,0.27,0.52,1,32.0
638,0,0.18,0.74,1,30.0
402,0,0.18,0.22,0,10.5
759,9,0.18,0.7,0,60.0
416,0,0.18,0.24,0,5.0
177,6,0.14,0.5,1,69.0
923,1,0.18,0.37,0,34.0
721,0,0.18,0.63,0,100.0
325,0,0.18,0.21,0,15.0
982,37,0.18,0.52,0,67.0
1052,0,0.54,0.65,1,54.0
350,0,0.18,0.18,0,6.5
422,0,0.18,0.67,1,56.0
17,53,0.28,0.69,1,41.0
1014,8,0.32,0.58,1,49.0
186,0,0.11,0.49,0,54.0
700,0,0.18,0.71,0,98.0
338,0,0.18,0.21,0,11.0
206,8,0.12,0.33,0,30.0
501,0,0.18,0.3,1,27.0
952,5,0.18,0.51,0,106.0
345,0,0.18,0.3,0,13.5
313,0,0.18,0.28,0,17.0
242,12,0.18,0.33,1,29.0
500,0,0.18,0.88,1,68.0
170,0,0.09,0.64,0,93.0
187,2,0.1,0.49,1,68.0
984,1,0.18,0.69,0,102.0
133,1,0.19,0.74,1,35.0
301,0,0.18,0.26,0,21.0
792,2,0.18,0.59,0,76.0
587,0,0.18,0.56,1,67.0
318,0,0.18,0.27,0,20.5
78,0,0.05,0.41,0,89.0
844,15,0.18,0.47,0,45.0
640,0,0.18,0.44,1,65.0
346,0,0.18,0.17,0,10.5
396,0,0.18,0.26,0,9.0
198,2,0.31,0.52,1,52.5
389,0,0.18,0.23,0,13.0
385,0,0.18,0.25,0,12.5
941,14,0.18,0.49,0,65.0
485,0,0.18,0.47,1,28.0
1001,18,0.34,0.98,1,76.0
983,1,0.18,0.72,0,99.0
740,0,0.18,0.58,0,62.0
229,12,0.12,0.32,1,24.0
793,0,0.18,0.46,0,69.0
21,10,0.11,0.45,0,42.0
702,0,0.18,0.57,0,56.0
796,0,0.18,0.49,0,62.0
649,0,0.18,0.26,1,33.0
250,17,0.13,0.61,1,62.5
243,16,0.13,0.35,0,32.0
619,0,0.18,0.43,1,58.0
35,9,0.12,0.62,1,34.0
81,3,0.05,0.43,0,52.0
159,2,0.14,0.37,1,51.0
732,0,0.18,0.47,0,70.0
333,0,0.18,0.21,0,19.0
911,14,0.18,0.63,0,99.0
957,2,0.18,1.05,1,99.0
728,0,0.18,0.36,0,83.0
109,0,0.26,0.88,1,82.0
