,diam_top_in_cm,main_stem_length_in_cm,infested
1031,0.42,32.0,1
178,0.04,64.0,1
99,0.12,83.0,0
1026,0.25,41.0,0
198,0.31,52.5,1
244,0.13,27.0,1
115,0.15,42.0,1
266,0.21,41.0,1
72,0.1,66.0,1
1024,0.45,45.0,0
25,0.13,41.0,1
165,0.05,49.0,1
1028,0.39,35.0,1
1046,0.36,18.0,1
175,0.2,82.0,0
1048,0.46,36.0,1
39,0.21,38.0,1
194,0.21,51.0,1
991,0.16,115.0,1
88,0.05,66.0,0
70,0.05,75.0,0
87,0.07,64.0,0
293,0.15,31.5,1
243,0.13,32.0,1
278,0.19,40.0,1
212,0.18,42.0,1
9,0.11,50.0,1
1051,0.44,43.0,1
196,0.04,53.0,1
252,0.2,40.0,1
1007,0.4,52.0,0
193,0.09,51.0,0
117,0.16,57.0,1
47,0.16,21.0,1
173,0.09,46.0,0
